Gauge,Assignments
81700080,0
9190070,6
9193091,0
81702400,0
8021370,2
9193092,6
8020080,1
8020551,0
9190020,0
8020010,0
81700840,0
81800260,0
8020554,2
9192031,6
81500002,0
81700001,0
9192010,0
9193121,0
8020080,1
9190140,6
8020060,1
81500001,0
9190093,6
8020031,0
8020082,0
9190031,3
9190000,5
9192020,6
9190010,0
8020080,1
8020020,0
81800001,0
9193100,6
9190092,6
9190130,0
81700050,0
8022020,3
9190090,4
8020553,0
9190061,6
8020080,1
81800350,0
8020552,2
9190040,0
8020550,1
9193120,0
81700051,0
8021980,3
8020040,0
9193090,6
81502040,0
9192050,0
9190050,0
9190060,6
9190030,3
81500970,0
9190091,4
81800354,0
9193102,6
9190110,2
8020081,0
81700020,0
81800353,0
9192040,6
9190120,0
8020070,1
9193101,6
81700200,0
8022130,6
8020061,0
81500100,0
8020070,1
81700021,0
8020062,6
9192030,6
81700760,0
9193110,6
8021981,6
81501800,0
9190001,2
81800690,0
81700660,0
8021560,3
9190080,6
9193050,0
81800351,0
8020070,1
81802520,0
8020555,0
9190111,3
8020030,1
81800352,0
81502000,0
8020070,1
8020032,0
81700060,0
8022310,0
8022030,2
8020050,6
